"Refid","Author","Title","Abstract","Accession Number","Art. no.","Article Number","Author Address","Author keywords","Author(s) id","Cited by","Comments","Custom 4","Custom 5","Database","Database Provider","Date","distiller_reference_created_date","distiller_reference_upload_date","Document type","DOI","Eid","Epub Date","File attachment","Index keywords","ISSN","Issue","Journal","Keywords","Label","Language","Legal Note","Level","Link","min_level","NIHMSID","Notes","Number","Open access","Original Publication","Page count","Page end","Page start","Pages","Place Published","PMCID","Publication stage","Publisher","Pubmed id","Rapidscreening","Research Notes","Secondary Author","Section","Short Title","Source","Source title","Translated Title","Type","Type of Work","URL","User","Volume","Year"
138,"Berkes, F., Ross, H.","Panarchy and community resilience: Sustainability science and policy implications","… to other levels, the ways in which community resilience is impacted, and the implications of … illustrate a diversity of ways in which community resilience is shaped in a multi-level world. …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Environmental Science &Policy",,,,,,,,,"Cited By (since 2016): 261",,,,,,,,,,,,,,,,,"Panarchy and community resilience: Sustainability science and policy implications",,,,JOUR,,"https://www.sciencedirect.com/science/article/pii/S1462901116300843 https://slunik.slu.se/kursfiler/MX0127/20050.1920/5_Berket_o_Rss_2016_ERAUQ386526-2.pdf",,,2016
139,"Bhatta, R., Loc, H. H., Babel, M. S., Chapagain, K.","Assessment and enhancement of community water supply system sustainability: A dual Framework Approach","… For example, a SMART goal for reducing water pollution might be to reduce the … improves sustainability outcomes but also strengthens community resilience and cohesion. …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"… and Sustainability Indicators",,,,,,,,,,,,,,,,,,,,,,,,,,"Assessment and enhancement of community water supply system sustainability: A dual Framework Approach",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2665972724001545,,,2024
140,"Braga, M. F.","Building Community Resilience: A Design Perspective","… Rational choice theory is an analytical framework in neoclassical economics for understanding and modeling the social and economic behavior of groups of people – for example, the …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/978-3-030-87745-3_232,,,,,,,"The Palgrave Encyclopedia of Urban and Regional …",,,,,,,,,,,,,,,,,,,,,,,,,,"Building Community Resilience: A Design Perspective",,,,JOUR,,https://link.springer.com/content/pdf/10.1007/978-3-030-87745-3_232.pdf,,,2023
141,"Brose, D. A.","Developing a framework for measuring community resilience: Summary of a workshop","… framework, the Resilient America Roundtable of the National Academies convened the workshop Measures of Community Resilience: … to begin to develop a framework of measures and …",,,,,,,,,,,"GS Search 1",,,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,,,,,,,,,,"Cited By (since 2015): 31","Query date: 2024-09-27 10:20:05",,,,,,,,,,books.google.com,,,,,,"Developing a framework for measuring community resilience: Summary of a workshop",,,,BOOK,,https://books.google.com/books?hl=en&lr=&id=73H2BwAAQBAJ&oi=fnd&pg=PT17&dq=framework+%22community+resilience%22+pollution%7Cpolluted%7Cpollutants%7Ccontamination%7Ccontaminated%7Ccontaminants%7Ccontaminates&ots=ZEZbYI7MR_&sig=x2Cn_MrcP3uJqVfu2KFjb1Oe290,,,2015
142,"Camacho, C., Bower, P., Webb, R. T., Munford, L.","Measurement of community resilience using the Baseline Resilience Indicator for Communities (BRIC) framework: A systematic review","… Eighteen indicators such as pollution control equipment, protective clothing, harbour capacity and pre-existing marine pollution were used to construct an HNS-specific index. Validation …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"International journal of …",,,,,,,,,"Cited By (since 2023): 14",,,,,,,,,,,,,,,,,"Measurement of community resilience using the Baseline Resilience Indicator for Communities (BRIC) framework: A systematic review",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S2212420923003503,,,2023
143,"Choi, Juyeong, Deshmukh, Abhijeet, Hastak, Makarand","Seven-Layer Classification of Infrastructure to Improve Community Resilience to Disasters","… Therefore, the availability of a framework in which … platform for planning community resilience within the framework of seven … The proposed framework starts by identifying the primary …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1061/(asce)is.1943-555x.0000486,,,,,"1076-0342 1943-555X",2,"Journal of Infrastructure Systems",,,,,,,,,"Cited By (since 2019): 36",,,,,,,,,,,,,,,,,"Seven-Layer Classification of Infrastructure to Improve Community Resilience to Disasters",,,,JOUR,,https://ascelibrary.org/doi/abs/10.1061/(ASCE)IS.1943-555X.0000486,,25,2019
144,"Clark, T. D., Solutions, W. S. S.","Natural disasters, vulnerability, and resilience in indigenous communities: Literature review and conceptual framework","… of burned hectares and the resultant contamination of air, water, … community resilience and adaptive capacity, which will help … and implement programs to increase community resilience …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,,,,,,,,,,"Cited By (since 2017): 2",,,,,,,,,,,,,,,,,"Natural disasters, vulnerability, and resilience in indigenous communities: Literature review and conceptual framework",,,,JOUR,,https://www.academia.edu/download/55029697/Rebuilding_Resilience_Indigenous_Communities_-_Literature_Review_Report_Final.pdf,,,2017
145,"Colker, R.","Optimizing community infrastructure: Resilience in the face of shocks and stresses","… air and water pollution, acid mine drainage, and polluted soils. … approach to achieving community resilience, it largely … capabilities in the National Mitigation Framework and assesses …",,,,,,,,,,,"GS Search 1",,,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,,,,,,,,,,"Cited By (since 2019): 11","Query date: 2024-09-27 10:20:05",,,,,,,,,,books.google.com,,,,,,"Optimizing community infrastructure: Resilience in the face of shocks and stresses",,,,BOOK,,https://books.google.com/books?hl=en&lr=&id=gpe2DwAAQBAJ&oi=fnd&pg=PP1&dq=framework+%22community+resilience%22+pollution%7Cpolluted%7Cpollutants%7Ccontamination%7Ccontaminated%7Ccontaminants%7Ccontaminates&ots=Ub_zttn9Js&sig=nsnTOsIZ-a8bsVrKe5pwS3QFzn8,,,2019
146,"Comes, T.","Designing for networked community resilience","… One common resilience framework is focused on “4 Es”: … to address issues of energy, pollution, transportation, water … term considerations, a theoretical framework is proposed for …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Procedia engineering",,,,,,,,,"Cited By (since 2016): 48",,,,,,,,,,,,,,,,,"Designing for networked community resilience",,,,JOUR,,"https://www.sciencedirect.com/science/article/pii/S1877705816321993 https://www.sciencedirect.com/science/article/pii/S1877705816321993/pdf?md5=831cdf83a295f2cbf8aa1b0b01699e33&pid=1-s2.0-S1877705816321993-main.pdf",,,2016
147,"Cui, Peng, Li, Dezhi","Measuring the Disaster Resilience of an Urban Community Using ANP‐FCE Method from the Perspective of Capitals","… (2) Establishing a convenient and quantifiable framework to measure community resilience … The pump station in the basement was flooded and the drinking water was polluted. These …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1111/ssqu.12699,,,,,"0038-4941 1540-6237",6,"Social Science Quarterly",,,,,,,,,"Cited By (since 2019): 29",,,,,,,2059-2077,,,,,,,,,2059,"Measuring the Disaster Resilience of an Urban Community Using ANP‐FCE Method from the Perspective of Capitals",,,,JOUR,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ssqu.12699,,100,2019
148,"Cui, P., Li, D.","A SNA-based methodology for measuring the community resilience from the perspective of social capitals: Take Nanjing, China as an example","… For example, F Community have cleaned the garbage, waste and other pollutants in a … a SNA-based assessment framework of community resilience from the perspective of capitals. …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Sustainable Cities and Society",,,,,,,,,"Cited By (since 2020): 55",,,,,,,,,,,,,,,,,"A SNA-based methodology for measuring the community resilience from the perspective of social capitals: Take Nanjing, China as an example",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S221067071931488X,,,2020
149,"Daniel, Liba, Mazumder, Ram K., Enderami, S. Amin, Sutley, Elaina J., Lequesne, Rémy D.","Community Capitals Framework for Linking Buildings and Organizations for Enhancing Community Resilience through the Built Environment","The goal of this paper is to define a quantitative measurement system capable of capturing multiple dimensions of a community impacted by disaster. The multiple dimensions of a …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1061/(asce)is.1943-555x.0000668,,,,,"1076-0342 1943-555X",1,"Journal of Infrastructure Systems",,,,,,,,,"Cited By (since 2022): 14",,,,,,,,,,,,,,,,,"Community Capitals Framework for Linking Buildings and Organizations for Enhancing Community Resilience through the Built Environment",,,,JOUR,,"https://ascelibrary.org/doi/full/10.1061/(ASCE)IS.1943-555X.0000668 https://drive.google.com/file/d/1BAYpKTLOPjwLDgAsqLS9hemAFinExR68/view",,28,2022
150,"Derakhshan, S., Blackwood, L., Habets, M., Effgen, J. F.","Prisoners of scale: downscaling community resilience measurements for enhanced use","… help progress community resilience quantification schemes, … conceptual relevance in the framework of resilience capitals, … Water quality risk NPDES point source pollution facilities in …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,Sustainability,,,,,,,,,"Cited By (since 2022): 13",,,,,,,,,,,,,,,,,"Prisoners of scale: downscaling community resilience measurements for enhanced use",,,,JOUR,,https://www.mdpi.com/2071-1050/14/11/6927,,,2022
151,"Deshkar, S., Adane, V.","Community resilience approach for prioritizing infrastructure development in urban areas","… framework that can help the authorities to adopt an appropriate approach for infrastructure planning, focusing on generating community resilience… of environmental pollution and hazard …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Urban disasters and resilience in Asia",,,,,,,,,"Cited By (since 2016): 17",,,,,,,,,,,,,,,,,"Community resilience approach for prioritizing infrastructure development in urban areas",,,,JOUR,,"https://www.sciencedirect.com/science/article/pii/B9780128021699000161 https://www.researchgate.net/profile/Sameer-Deshkar/publication/303414677_Community_Resilience_Approach_for_Prioritizing_Infrastructure_Development_in_Urban_Areas/links/5ac9dbb8aca272abdc615855/Community-Resilience-Approach-for-Prioritizing-Infrastructure-Development-in-Urban-Areas.pdf",,,2016
152,"Erwin, A., Ma, Z., Popovici, R., O'Brien, E. P. S., Zanotti, L.","Linking migration to community resilience in the receiving basin of a large-scale water transfer project","… like pollution, social inequality, and unclear land rights, heighten the vulnerabilities and decrease community resilience in … as well as presents a framework for better understanding how …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Land Use Policy",,,,,,,,,"Cited By (since 2022): 8",,,,,,,,,,,,,,,,,"Linking migration to community resilience in the receiving basin of a large-scale water transfer project",,,,JOUR,,https://www.sciencedirect.com/science/article/pii/S0264837721006232,,,2022
153,"Finucane, Melissa L., Blum, Michael J., Ramchand, Rajeev, Parker, Andrew M., Nataraj, Shanthi, Clancy, Noreen, Cecchine, Gary, Chandra, Anita, Slack, Tim, Hobor, George, Ferreira, Regardt J., Luu, Ky, Lesen, Amy E., Bond, Craig A.","Advancing community resilience research and practice: moving from “me” to “we” to “3D”","Research and practice aimed at enhancing community resilience to disasters such as hurricanes have focused primarily on the survival of individuals and the development of social capital and networks. Less consideration has been given to the dynamics of social-ecological conditions that can govern post-disaster outcomes. This article provides a rationale for moving research and practice towards an adaptive systems framework, drawing on the cascading challenges that Gulf of Mexico coastal communities have endured since the 2010 Deepwater Horizon (DWH) oil spill. The adaptive approach recognizes that, in some situations, crises can highlight avenues for improvement, where greater resilience can be achieved by addressing the dynamic context of a disaster. We discuss implications for clarifying interdependencies, bridging the science-society gap, and making course corrections through iterative processes. We also highlight how the approach might foster policy addressing global challenges such as changing climate conditions, rapid urbanization, and disease pandemics.",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1080/13669877.2018.1517377,,,,,"1366-9877 1466-4461",1,"Journal of Risk Research",,,,,,,,,"Cited By (since 2020): 17",,,,,,,1-10,,,,,,,,,1,"Advancing community resilience research and practice: moving from “me” to “we” to “3D”",,,,JOUR,,"https://www.tandfonline.com/doi/abs/10.1080/13669877.2018.1517377 https://www.academia.edu/download/89827479/13669877.2018.151737720220817-1-15zb7pm.pdf",,23,2019
154,"Fox-Lent, Cate, Bates, Matthew E., Linkov, Igor","A matrix approach to community resilience assessment: an illustrative case at Rockaway Peninsula","… sanitation works have released contaminants into the bay and … community resilience assessment method with specific strengths over existing methods. The RM provides a framework …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/s10669-015-9555-4,,,,,"2194-5403 2194-5411",2,"Environment Systems and Decisions",,,,,,,,,"Cited By (since 2015): 137",,,,,,,209-218,,,,,,,,,209,"A matrix approach to community resilience assessment: an illustrative case at Rockaway Peninsula",,,,JOUR,,"https://link.springer.com/article/10.1007/s10669-015-9555-4 https://www.researchgate.net/profile/Matthew-Bates-9/publication/278680330_A_matrix_approach_to_community_resilience_assessment_An_illustrative_case_at_Rockaway_Peninsula/links/63d43783c97bd76a823f355c/A-matrix-approach-to-community-resilience-assessment-An-illustrative-case-at-Rockaway-Peninsula.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9",,35,2015
155,"Gerhardstein, B., Rayman, J.","Community Psychosocial Stress and Environmental Contamination: From Theory to Practice","… contamination. In addition, we sought to identify strategies for strengthening community resilience to this … In particular, our objectives were to (1) develop a theoretical framework for …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"… Annual Meeting and Expo (Oct. 24 …",,,,,,,,,,,,,,,,,,,,,,,,,,"Community Psychosocial Stress and Environmental Contamination: From Theory to Practice",,,,JOUR,,https://apha.confex.com/apha/2020/meetingapi.cgi/Session/61156?filename=2020_Session61156.html&template=Word,,,2020
156,"Glass, Jayne, McMorran, Rob, Currie, Margaret, McKee, Annie, Pinker, Annabel, Reed, Mark, Meador, Elliot, Markantoni, Marianna","Translating community resilience theory into practice: A deliberative Delphi approach","… This article, therefore, responds to this gap in understanding by developing a novel and practical framework for translating rural community resilience theory into practice to provide …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1111/soru.12397,,,,,"0038-0199 1467-9523",4,"Sociologia Ruralis",,,,,,,,,"Cited By (since 2022): 17",,,,,,,675-698,,,,,,,,,675,"Translating community resilience theory into practice: A deliberative Delphi approach",,,,JOUR,,"https://onlinelibrary.wiley.com/doi/abs/10.1111/soru.12397 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/soru.12397",,62,2022
157,"Goyal, N.","Disaster governance and community resilience: The law and the role of SDMAs","… no longer be ignored in the framework of disaster cycle. In a … can help in building community resilience and ensuring … water bodies and river bed pollution due to incessant illegal …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"International Journal of Disaster Risk Management",,,,,,,,,"Cited By (since 2019): 41",,,,,,,,,,,,,,,,,"Disaster governance and community resilience: The law and the role of SDMAs",,,,JOUR,,"https://www.ceeol.com/search/article-detail?id=946697 http://internationaljournalofdisasterriskmanagement.com/index.php/Vol1/article/download/12/10",,,2019
158,"Grymes, James, Newman, Alexandra, Cranmer, Zana, Nock, Destenie","Optimizing microgrid deployment for community resilience","… consequences from resulting air pollution exposure. Fuel cells … Our optimization framework considers how fuel cells, … , and create a cost-benefit framework for the responsible civic …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/s11081-023-09844-6,,,,,"1389-4420 1573-2924",3,"Optimization and Engineering",,,,,,,,,,,,,,,,1297-1331,,,,,,,,,1297,"Optimizing microgrid deployment for community resilience",,,,JOUR,,https://link.springer.com/article/10.1007/s11081-023-09844-6,,25,2023
159,"Gu, Donghwan, Dillard, Maria, Gerst, Michael, Loerzel, Jarrod","Validating Commonly Used Indicators for Community Resilience Measurement","… Not all community resilience indicator frameworks fully acknowledge and engage with the multidimensional nature of validation. Thus, as a starting point for background, this case study …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1061/nhrefo.Nheng-1642,,,,,"1527-6988 1527-6996",2,"Natural Hazards Review",,,,,,,,,"Cited By (since 2023): 15",,,,,,,,,,,,,,,,,"Validating Commonly Used Indicators for Community Resilience Measurement",,,,JOUR,,"https://ascelibrary.org/doi/abs/10.1061/NHREFO.NHENG-1642 https://ascelibrary.org/doi/pdf/10.1061/NHREFO.NHENG-1642?download=true",,24,2023
160,"Halder, S.","Community resilience: A potential answer to the emerging pandemic","… major dimensions of community resilience and their underside … to state that the conceptual framework presented in this chapter … area) for air pollution control, water pollution control, and …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/978-981-33-6440-0_15,,,,,,,"COVID-19 Pandemic Trajectory in the Developing …",,,,,,,,,"Cited By (since 2021): 2",,,,,,,,,,,,,,,,,"Community resilience: A potential answer to the emerging pandemic",,,,JOUR,,https://link.springer.com/chapter/10.1007/978-981-33-6440-0_15,,,2021
161,"Haque, A. K. Enamul, Mukhopadhyay, Pranab, Nepal, Mani, Shammin, Md Rumi","Climate Change and Community Resilience","… work on acid rain, inclusive wealth accounts, and pollution in small lakes. His research on … to show us how lakes could switch from being just polluted to plain dead. Karl-Göran for many …",,,,,,,,,,,"GS Search 1",,,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1007/978-981-16-0680-9,,,,,"978-981-16-0679-3 978-981-16-0680-9",,,,,,,,,,,"Cited By (since 2022): 18","Query date: 2024-09-27 10:20:05",,,,,,,,,,Springer,,,,,,"Climate Change and Community Resilience",,,,BOOK,,"https://link.springer.com/content/pdf/10.1007/978-981-16-0680-9.pdf http://irgu.unigoa.ac.in/drs/bitstream/handle/unigoa/6611/Climate_Change_Commun_Resilience_2021_460pp.pdf?sequence=1&isAllowed=y",,,2022
162,"He, Xian, Cha, Eun Jeong","State of the research on disaster risk management of interdependent infrastructure systems for community resilience planning","… risk management decision-making framework that can be used for a … Finally, the existing decision models or frameworks have … frameworks for more comprehensive community resilience …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,10.1080/23789689.2020.1871541,,,,,"2378-9689 2378-9697",5,"Sustainable and Resilient Infrastructure",,,,,,,,,"Cited By (since 2022): 17",,,,,,,391-420,,,,,,,,,391,"State of the research on disaster risk management of interdependent infrastructure systems for community resilience planning",,,,JOUR,,https://www.tandfonline.com/doi/abs/10.1080/23789689.2020.1871541,,7,2021
163,"He, Z., Chen, H., Yan, H., Yin, Y., Qiu, Q., Wang, T.","Scenario-based comprehensive assessment for community resilience adapted to fire following an earthquake, implementing the analytic network process and …","… community resilience is an essential work for municipal policy makers. Therefore, this study conducted a comprehensive assessment on community resilience … selection framework to …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,Buildings,,,,,,,,,"Cited By (since 2021): 16",,,,,,,,,,,,,,,,,"Scenario-based comprehensive assessment for community resilience adapted to fire following an earthquake, implementing the analytic network process and …",,,,JOUR,,https://www.mdpi.com/2075-5309/11/11/523,,,2021
164,"Huber, K., Lawson, A., Peace, J.","Maximizing benefits: Strategies for community resilience","… It provides a conceptual framework on how to define … illness associated with polluted water costs $36.58 per case. In … nationwide, often due to polluted stormwater runoff.The economic …",,,,,,,,,,,"GS Search 1",,//,"2024-10-03 23:12:33","2024-10-03 23:12:33",,,,,,,,,"Center for Climate and Energy …",,,,,,,,,"Cited By (since 2018): 1",,,,,,,,,,,,,,,,,"Maximizing benefits: Strategies for community resilience",,,,JOUR,,https://view.ckcest.cn/AllFiles/ZKBG/Pages/961/strategies-for-community-resilience.pdf,,,2018
